text,pred_tuples_zero_shot,pred_tuples_few_shot
This devices brought my wifi network to its knees. Not sure why this has good reviews. My devices had a hard time connecting. And even if my devices weren't connected it would hog a bunch of bandwidth and slow the whole network. I personally would just buy an AirPort Extreme. That solved range problems for me.,"[('this devices', 'null', 'brought my wifi network to its knees', -1.0), ('this devices', 'null', 'hog a bunch of bandwidth', -1.0), ('this devices', 'null', 'slow the whole network', -1.0), ('airport extreme', 'null', 'solved range problems', 1.0)]","[('device', 'null', 'brought my wifi network to its knees', -1.0), ('reviews', 'null', 'good', -1.0), ('device', 'null', 'had a hard time connecting', -1.0), ('device', 'null', 'hog a bunch of bandwidth', -1.0), ('device', 'null', 'slow the whole network', -1.0), ('airport extreme', 'null', 'solved range problems', 1.0)]"
"Works well, but the corner of the plastic cracked and is broken after a month or so. I think at least 2 of the plastic corners are cracked now. still works but wish it was higher quality.","[('product', 'quality', 'higher quality', 1.0), ('product', 'null', 'works well', 1.0), ('product', 'quality', 'broken', -1.0)]","[('product', 'quality', 'higher', -0.5), ('product', 'quality', 'cracked', -1.0)]"
legit.  love them.  I play with 1 in fully and 1 ear in 1/2.  really nice.  good product.  buy rechargeable batteries to go with them you'll save $$$,"[('batteries', 'null', 'really nice', 1.0), ('product', 'null', 'good', 1.0)]","[('batteries', 'rechargeable', 'good', 1.0), ('product', 'null', 'nice', 1.0), ('product', 'null', 'good', 1.0), ('product', 'null', 'legit', 1.0)]"
"this really deserves 3 stars.  its not terrible, but its not great.  first is sound quality.  its not terrible.  2nd is limited distance.  its not terrible, but not great.<br /><br />I wish I had found a better product.","[('product', 'sound quality', 'not terrible', 0.0), ('product', 'distance', 'not great', -0.5)]","[('product', 'sound quality', 'not terrible', 0.2), ('product', 'distance', 'not great', -0.5)]"
These work great for 8x10 frames.,"[('work', 'null', 'these work great', 1.0), ('frames', 'null', 'these work great for', 1.0)]","[('frames', 'null', 'great', 1.0)]"
Bought to get stronger WIFI to my upstairs level & it works great! Great value for the price!,"[('router', 'performance', 'works great', 1.0), ('router', 'value', 'great value', 1.0)]","[('wifi', 'strength', 'works great', 1.0), ('product', 'value', 'great', 1.0), ('product', 'price', 'for the price', 0.5)]"
This is the 3rd Sony Blu Ray player I have bought & have been impressed with them all. My kids love the wi fi streaming options.,"[('sony blu ray player', 'null', 'impressed with them all', 1.0), ('wi fi streaming options', 'null', 'kids love', 1.0)]","[('sony blu ray player', 'null', 'impressed', 1.0), ('wi fi streaming options', 'null', 'love', 1.0)]"
Love Otterbox cases. These have protected my 7 & 9 year old's IPods with lots of drops & wear & tear.,"[('otterbox cases', 'null', 'love', 1.0), ('otterbox cases', 'null', 'protected', 1.0), ('ipods', 'null', 'protected', 1.0), ('ipods', 'null', 'wear & tear', -1.0)]","[('otterbox cases', 'null', 'love', 1.0), ('otterbox cases', 'null', 'protected', 1.0), ('ipods', 'null', 'protected', 1.0), ('ipods', 'null', 'lots', 0.5), ('ipods', 'null', 'drops', -1.0), ('ipods', 'null', 'wear', -1.0), ('ipods', 'null', 'tear', -1.0)]"
great product. high quality. fits perfectly.,"[('product', 'quality', 'high quality', 1.0), ('product', 'null', 'great', 1.0), ('product', 'fit', 'perfectly', 1.0)]","[('product', 'quality', 'high', 1.0), ('product', 'fit', 'perfectly', 1.0)]"
Pretty cool!!!<br /><br />Thanks Amazon.,"[('amazon', 'null', 'pretty cool', 1.0)]","[('amazon', 'null', 'cool', 1.0)]"
It came in quickly.  My son and grandson put it together for me in about 3 or 4 hr.  Time out for dinner and couple of beers.  Back to putting it to finish and test it out.  TV hung perfectly.  Fit right in the same corner a much smaller stand was in Clean looks with the wires now.,"[('tv', 'null', 'looks good', 1.0), ('tv', 'null', 'hung perfectly', 1.0), ('tv', 'null', 'fit right in', 1.0), ('stand', 'null', 'much smaller', -1.0)]","[('tv', 'delivery', 'came in quickly', 1.0), ('assembly process', 'null', 'easy', 1.0), ('tv', 'installation', 'hung perfectly', 1.0), ('tv', 'appearance', 'clean looks', 1.0), ('wires', 'null', 'null', 0.0)]"
"Just a normal cable, works great for my external monitor!","[('cable', 'null', 'works great', 1.0)]","[('cable', 'null', 'works great', 1.0)]"
"I love this alarm. Bright, nice tone. The system is a little confusing but the manual helps a lot. Once you get the hang of it you'll love it. It's a nice gentle way to wake up.","[('alarm', 'null', 'love this', 1.0), ('alarm', 'tone', 'nice', 1.0), ('system', 'null', 'a little confusing', -1.0), ('manual', 'null', 'helps a lot', 1.0), ('system', 'null', 'love it', 1.0), ('alarm', 'null', 'nice gentle way', 1.0)]","[('alarm', 'tone', 'nice', 1.0), ('alarm', 'null', 'love', 1.0), ('system', 'null', 'confusing', -1.0), ('manual', 'null', 'helps', 1.0), ('alarm', 'null', 'gentle', 1.0)]"
"Works great with my pixel 2, I can charge quickly while listening to music.","[('pixel 2', 'null', 'works great', 1.0), ('pixel 2', 'null', 'charge quickly', 1.0), ('pixel 2', 'null', 'listening to music', 1.0)]","[('pixel 2', 'null', 'works great', 1.0), ('charger', 'null', 'charge quickly', 1.0)]"
Works flawlessly! Great for music/podcasts and receiving calls. The microphone isn't set up that close to my face but still captures my voice clearly.,"[('iphone 15', 'null', 'works flawlessly', 1.0), ('iphone 15', 'null', 'great for music/podcasts', 1.0), ('iphone 15', 'null', 'receiving calls', 1.0), ('microphone', 'null', 'captures my voice clearly', 1.0), ('microphone', 'position', 'not set up that close', -1.0)]","[('device', 'null', 'works flawlessly', 1.0), ('device', 'null', 'great', 1.0), ('device', 'null', 'good', 1.0), ('microphone', 'setup', ""isn't set up"", -1.0), ('microphone', 'quality', 'captures my voice clearly', 1.0)]"
I am not sure how much protection this provides - certainly less than a camera bag - but it will protect against scratches and small bumps. It's fairly thin. It fits my Canon EOS Rebel T6i w/ kit lens very well - like a glove.,"[('camera bag', 'protection', 'less than', -1.0), ('camera bag', 'protection', 'good against scratches', 1.0), ('camera bag', 'protection', 'good against small bumps', 1.0), ('camera bag', 'thickness', 'fairly thin', 1.0), ('camera bag', 'fit', 'fits well', 1.0)]","[('protection', 'protection', 'less', -0.5), ('camera bag', 'protection', 'certainly more', 1.0), ('product', 'thickness', 'fairly thin', 0.2), ('product', 'fit', 'like a glove', 1.0)]"
"Awesome product, fits well on my mac. Would definitely recommend.","[('product', 'null', 'awesome', 1.0), ('product', 'null', 'definitely recommend', 1.0), ('product', 'null', 'fits well', 1.0)]","[('product', 'null', 'awesome', 1.0), ('product', 'null', 'definitely recommend', 1.0), ('product', 'fit', 'well', 1.0)]"
I believe the electrical boxes are made especially to fit in a recessed (in wall) TV mount fixture. That is perhaps why it is made narrower. In the comments I am not seeing anyone using it for this. I would love to hear if someone used it placed inside a recessed mount and how it worked.,"[('electrical boxes', 'design', 'made especially', 1.0), ('electrical boxes', 'design', 'narrower', 1.0)]","[('boxes', 'null', 'made', 1.0), ('boxes', 'width', 'narrower', 1.0)]"
Don't know why I didn't get one of these years ago..it's saving me $9 a month rental fee i was paying Comcast,"[('comcast', 'rental fee', 'saving me', 1.0)]","[('comcast', 'rental fee', 'high', -1.0), ('device', 'null', 'amazing', 1.0)]"
"Worked great for a vacation monitor. Had no issues with my MacBook. Good resolution, no dead pixels. Very easy to carry around","[('vacation monitor', 'null', 'worked great', 1.0), ('macbook', 'null', 'no issues', 1.0), ('resolution', 'null', 'good', 1.0), ('pixels', 'null', 'no dead', 1.0), ('portability', 'null', 'easy to carry', 1.0)]","[('vacation monitor', 'null', 'worked great', 1.0), ('macbook', 'null', 'no issues', 1.0), ('resolution', 'null', 'good', 0.7), ('pixels', 'null', 'dead', -1.0), ('monitor', 'portability', 'easy to carry around', 1.0)]"
"This has been a great headset for video conferencing all day. Comfort is great, mic quality is great and when I do play music it sounds great too.","[('headset', 'comfort', 'great', 1.0), ('headset', 'mic quality', 'great', 1.0), ('headset', 'sound quality', 'great', 1.0)]","[('headset', 'comfort', 'great', 1.0), ('headset', 'mic quality', 'great', 1.0), ('headset', 'music quality', 'great', 1.0)]"
Can easily hold 2 pairs of headphones and looks great!,"[('headphones', 'null', 'looks great', 1.0), ('headphones', 'null', 'easily hold', 1.0)]","[('headphones', 'null', 'looks great', 1.0), ('headphones', 'capacity', 'can easily hold', 1.0)]"
Sound quality of my dt 990 much improved compared to just hooking up to my phone. Would recommend to everyone. Small and easy to use,"[('dt 990', 'sound quality', 'much improved', 1.0), ('dt 990', 'null', 'would recommend', 1.0), ('dt 990', 'size', 'small', 1.0), ('dt 990', 'usability', 'easy to use', 1.0)]","[('dt 990', 'sound quality', 'much improved', 0.8), ('dt 990', 'size', 'small', 1.0), ('dt 990', 'usability', 'easy to use', 1.0)]"
These are incredible value for the money. All of the included parts have worked for a few months and are still in great quality. We use them at lunch for an hour each day with smash.,"[('included parts', 'quality', 'great', 1.0), ('product', 'value for money', 'incredible', 1.0)]","[('value', 'null', 'incredible', 1.0), ('parts', 'quality', 'great', 1.0)]"
"Stick great to my desk and provide ample spaces for all of my cords. The color coding is more useful than I thought originally. Since each one has two spots, I had enough for my desk and bed night stand.","[('cable organizers', 'stickiness', 'great', 1.0), ('cable organizers', 'space provision', 'ample', 1.0), ('color coding', 'usefulness', 'more useful', 1.0), ('cable organizers', 'quantity', 'enough', 1.0)]","[('cable organizers', 'stick', 'great', 1.0), ('cable organizers', 'spaces', 'ample', 1.0), ('cable organizers', 'color coding', 'useful', 1.0)]"
"This pair is fantastic for the price I paid(just over 50$) . There are a little long and tall which forced me to move my two fans around them, but that is more case design flaw than anything. I haven't had any issues with them and have used PNY for a long time.","[('pny', 'null', 'have used for a long time', 1.0), ('pny', 'null', ""haven't had any issues"", 1.0), ('pny', 'design', 'case design flaw', -1.0)]","[('pair', 'price', 'fantastic', 1.0), ('pair', 'design', 'case design flaw', -1.0)]"
Had for about a month now. Still running strong and keeping my twc ultimate internet on all 8 of my houses devices. Goes through three rooms and I'll lose just a small fraction of speed (10mbps loss for a ranch style house).,"[('router', 'speed', 'running strong', 1.0), ('router', 'speed', 'small fraction of speed loss', -1.0)]","[('router', 'speed', 'still running strong', 1.0), ('router', 'speed', 'small fraction of speed loss', -0.5)]"
"Very easy to configure, fits my 11.6&#34; Alienware very well. I can focus air on my Gpu and WASD keys to prevent from getting hot. Easy recommendation to anyone who needs a cooler for intense applications. My WASD keys barely get hot and my Gpu runs much more stable.","[('alienware', 'null', 'easy to configure', 1.0), ('alienware', 'null', 'easy recommendation', 1.0), ('cooler', 'null', 'easy to use', 1.0), ('wasd keys', 'null', 'barely get hot', 1.0), ('gpu', 'null', 'runs much more stable', 1.0)]","[('alienware', 'size', 'fits well', 1.0), ('cooler', 'null', 'easy recommendation', 1.0), ('wasd keys', 'temperature', 'barely get hot', 0.2), ('gpu', 'stability', 'runs much more stable', 1.0)]"
Everything works great on the hub with my Samsung Galaxy Pro S5e.,"[('samsung galaxy pro s5e', 'null', 'works great', 1.0)]","[('hub', 'null', 'works great', 1.0), ('samsung galaxy pro s5e', 'null', 'works great', 1.0)]"
Must visually confirm that connector is fully extended by looking at slide groove.  Mine seemed DOA until I realized that  it wasn't making electrical connection.,"[('connector', 'null', 'doa', -1.0), ('connector', 'null', 'fully extended', 1.0), ('connector', 'null', 'making electrical connection', -1.0)]","[('connector', 'null', 'doa', -1.0), ('connector', 'electrical connection', 'making', -1.0)]"
Any small screw dropped in my computer case seemed to end up inside the bottom mounted power supply.  This filter will keep them out.,"[('power supply', 'design', 'keep small screws out', 1.0)]","[('screw', 'null', 'small', -0.5), ('computer case', 'null', 'good', 1.0), ('power supply', 'null', 'good', 1.0)]"
Bought four of these to use in a RAID.  All four of the boxes had PN: 98D648 - 550 on the box.  When I installed one of the drives it was smaller than the others.  PN on smaller drive's label was 98J146 - 308 and it was called a Barracuda 7200.10.  Larger drives were Barracuda 7200.11 9BX154 - 303 on the drive label.  Returned it and will check the replacement when it arrives.<br /><br />7/3/08 Received replacement drive and it was Barracuda 7200.11 9BX154 - 303.,"[('western digital', 'product quality', 'poor quality', -1.0), ('western digital', 'product quality', 'good quality', 1.0)]","[('drive', 'size', 'smaller', -1.0), ('drive', 'label', 'called', 0.0), ('drive', 'label', 'labeled', 0.0), ('drive', 'quality', 'good', 1.0)]"
Thin material but perfect to hang for a photo backdrop. Very happy!,"[('material', 'quality', 'perfect', 1.0), ('material', 'quality', 'thin', -1.0), ('product', 'null', 'happy', 1.0)]","[('material', 'null', 'thin', 0.5), ('material', 'null', 'perfect', 1.0), ('product', 'null', 'happy', 1.0)]"
Arrived damaged,"[('iphone 15', 'null', 'arrived damaged', -1.0)]","[('package', 'condition', 'damaged', -1.0)]"
Fast charging,"[('fast charging', 'null', 'very good', 1.0)]","[('charging', 'null', 'fast', 1.0)]"
This product is as good as advertised. The cost is attractive; considering you will likely replace them again in the future. I’ve attached a pic of the old and newly installed pads for comparison.,"[('product', 'null', 'as good as advertised', 1.0), ('product', 'cost', 'attractive', 1.0)]","[('product', 'quality', 'as good as advertised', 1.0), ('cost', 'null', 'attractive', 1.0)]"
Good cord. 15ft is exactly what I wanted.,"[('cord', 'length', 'exactly what i wanted', 1.0)]","[('cord', 'length', 'exactly what i wanted', 1.0)]"
Fits my MacBook Air perfectly! Has a soft touch. Great product.,"[('macbook air', 'null', 'fits perfectly', 1.0), ('macbook air', 'null', 'great product', 1.0), ('touch', 'null', 'soft', 1.0)]","[('product', 'null', 'great', 1.0), ('product', 'touch', 'soft', 1.0)]"
"DO NOT BUY THIS PRODUCT!! The first time I zipped the first pouch, the zipper broke. I tried another one, same thing,  zipper broke on the first try. HORRIBLE!!!","[('product', 'null', 'do not buy', -1.0), ('product', 'null', 'horrible', -1.0), ('product', 'zipper', 'broke', -1.0)]","[('product', 'null', 'horrible', -1.0), ('zipper', 'null', 'broke', -1.0)]"
Not very accurate in tracking steps taken.  Wrist band started coming off after 3 months of use.,"[('wrist band', 'accuracy', 'not very accurate', -1.0), ('wrist band', 'durability', 'started coming off', -1.0)]","[('fitness tracker', 'accuracy', 'not very accurate', -0.8), ('wrist band', 'durability', 'started coming off', -1.0)]"
Works great. Easy to install.,"[('product', 'null', 'works great', 1.0), ('product', 'null', 'easy to install', 1.0)]","[('product', 'installation', 'great', 1.0), ('product', 'null', 'easy', 1.0)]"
Very very slow processor. Disappointing.,"[('processor', 'null', 'very slow', -1.0), ('processor', 'null', 'disappointing', -1.0)]","[('processor', 'speed', 'slow', -1.0), ('experience', 'null', 'disappointing', -1.0)]"
Great headsets. Comfortable. Great sound quality.,"[('headsets', 'null', 'great', 1.0), ('headsets', 'null', 'comfortable', 1.0), ('headsets', 'sound quality', 'great', 1.0)]","[('headsets', 'comfort', 'comfortable', 1.0), ('headsets', 'sound quality', 'great', 1.0)]"
"Great case. Fits both the iPad Air & Air 2. Comes with a removable inner lining. When removed it fits the iPad Air. Looks good. Bought it in December 2014, still in great shape.","[('case', 'null', 'looks good', 1.0), ('case', 'null', 'still in great shape', 1.0)]","[('case', 'quality', 'great', 1.0), ('case', 'fit', 'good', 1.0), ('case', 'lining', 'removable', 1.0)]"
AWESOME sound!  Easy to install. The wireless subwoofer makes it easy to place any where in the room.,"[('sound', 'null', 'awesome', 1.0), ('installation', 'null', 'easy', 1.0), ('wireless subwoofer', 'placement', 'easy', 1.0)]","[('sound', 'null', 'awesome', 1.0), ('installer', 'null', 'easy', 1.0), ('subwoofer', 'placement', 'easy', 1.0)]"
Excellent sound. Easy to install.,"[('sound', 'null', 'excellent', 1.0), ('installation', 'null', 'easy', 1.0)]","[('sound', 'null', 'excellent', 1.0), ('installation', 'null', 'easy', 1.0)]"
"Arrived sooner than the original really long estimated date.  Packaged well.  Remote wall bracket included.  No ceiling or wall mounting hardware included for the screen.  Very quiet operation. Moves very slowly up/down, but no big problem as the projector is usually getting up to temperature.  High vinyl odor, but that's fading, since installed 4 days ago. Does hide-away nicely and seems unobtrusive.  Worthy purchase.","[('projector', 'delivery time', 'sooner than estimated', 1.0), ('package', 'packaging', 'well', 1.0), ('remote wall bracket', 'included accessories', 'included', 1.0), ('projector', 'mounting hardware', 'no big problem', 0.5), ('projector', 'noise level', 'quiet', 1.0), ('projector', 'movement speed', 'slowly', -1.0), ('projector', 'temperature', 'getting up to temperature', 0.0), ('projector', 'odor', 'high vinyl odor', -1.0), ('projector', 'odor', 'fading', 1.0), ('projector', 'design', 'hide-away nicely', 1.0), ('projector', 'design', 'unobtrusive', 1.0), ('projector', 'value', 'worthy purchase', 1.0)]","[('delivery', 'speed', 'sooner', 1.0), ('package', 'quality', 'well', 1.0), ('remote', 'quality', 'included', 1.0), ('mounting hardware', 'quality', 'included', -1.0), ('operation', 'noise', 'quiet', 1.0), ('operation', 'speed', 'slowly', -0.5), ('projector', 'temperature', 'getting', 0.0), ('smell', 'odor', 'high', -0.5), ('design', 'quality', 'unobtrusive', 1.0), ('purchase', 'worth', 'worthy', 1.0)]"
This cameras seems to focus on what “it” wants. I will try to capture and watch an area by moving the cameras visual area using the app but it will quickly return to another area. Not even the same area as was before I decided to look elsewhere. It tends to bounce anywhere it’s little heart desires causing me frustration and non use.,"[('cameras', 'null', ""bounce anywhere it's little heart desires"", -1.0), ('cameras', 'null', 'causing me frustration', -1.0), ('cameras', 'null', 'non use', -1.0)]","[('camera', 'focus', 'wants', -1.0), ('camera', 'visual area', 'bounce', -1.0), ('camera', 'visual area', 'frustration', -1.0), ('camera', 'use', 'non use', -1.0)]"
A little crackly at times but not that noticeable. Just turn the volume up. Easy connect. Use everyday,"[('iphone 15', 'sound quality', 'not that noticeable', 0.5), ('iphone 15', 'volume', 'easy', 1.0), ('iphone 15', 'connectivity', 'easy', 1.0)]","[('volume', 'null', 'crackly', -0.5), ('volume', 'null', 'not that noticeable', 0.2), ('connect', 'null', 'easy', 1.0), ('use', 'null', 'everyday', 1.0)]"
"To me, this was a waste of money. Not useful on a plane or really anywhere. Too short, once bent, leaving no surface space so phone wants to fall off. Don’t buy it. Save your money.","[('product', 'null', 'waste of money', -1.0), ('product', 'usefulness', 'not useful', -1.0), ('product', 'length', 'too short', -1.0), ('product', 'sturdiness', 'bent', -1.0), ('product', 'stability', 'wants to fall off', -1.0), ('product', 'null', ""don't buy it"", -1.0), ('money', 'null', 'save your money', 1.0)]","[('product', 'usefulness', 'waste of money', -1.0), ('product', 'usefulness', 'not useful', -1.0), ('product', 'size', 'too short', -1.0), ('product', 'sturdiness', 'bent', -1.0), ('product', 'stability', 'wants to fall off', -1.0), ('product', 'value', ""don't buy"", -1.0), ('money', 'value', 'save your money', 1.0)]"
Works great. Son uses it to hold Beats and Jaybirds. Traveled well and protected items.,"[('product', 'null', 'works great', 1.0), ('product', 'null', 'traveled well', 1.0), ('product', 'null', 'protected items', 1.0)]","[('case', 'quality', 'great', 1.0), ('case', 'protection', 'great', 1.0)]"
Works great. No complaints!,"[('product', 'null', 'works great', 1.0), ('product', 'null', 'no complaints', 1.0)]","[('product', 'null', 'works great', 1.0), ('product', 'null', 'no complaints', 1.0)]"
"My son likes it,holding up well considering how much weight he puts in it.So far so good!","[('iphone 15', 'null', 'likes it', 1.0), ('iphone 15', 'null', 'holding up well', 1.0), ('iphone 15', 'weight', 'considering how much weight he puts in it', -1.0), ('iphone 15', 'null', 'so good', 1.0)]","[('it', 'null', 'good', 0.8)]"
love them so much thank you,"[('them', 'null', 'love them so much', 1.0)]","[('them', 'null', 'love', 1.0)]"
awesome,"[('iphone 15', 'null', 'awesome', 1.0)]","[('product', 'null', 'awesome', 1.0)]"
