text,pred_tuples_zero_shot,pred_tuples_few_shot
This devices brought my wifi network to its knees. Not sure why this has good reviews. My devices had a hard time connecting. And even if my devices weren't connected it would hog a bunch of bandwidth and slow the whole network. I personally would just buy an AirPort Extreme. That solved range problems for me.,"[('devices', 'wifi performance', 'poor performance', -1.0), ('devices', 'connection', 'hard to connect', -1.0), ('devices', 'bandwidth usage', 'hogs bandwidth', -1.0), ('airport extreme', 'wifi performance', 'solved range problems', 1.0)]","[('devices', 'wifi network', 'brought to its knees', -1.0), ('devices', 'connection', 'hard time connecting', -0.8), ('devices', 'bandwidth', 'hog a bunch of', -0.6), ('airport extreme', 'null', 'solved range problems', 1.0)]"
"Works well, but the corner of the plastic cracked and is broken after a month or so. I think at least 2 of the plastic corners are cracked now. still works but wish it was higher quality.","[('plastic', 'durability', 'poor quality', -0.8), ('plastic', 'null', 'cracked', -0.8), ('product', 'functionality', 'works well', 0.6)]","[('camera', 'quality', 'higher quality', 0.7), ('camera', 'plastic corners', 'cracked', -1.0)]"
legit.  love them.  I play with 1 in fully and 1 ear in 1/2.  really nice.  good product.  buy rechargeable batteries to go with them you'll save $$$,"[('rechargeable batteries', 'cost savings', 'save $$$', 1.0), ('product', 'null', 'good product', 1.0), ('them', 'null', 'love them', 1.0), ('them', 'null', 'really nice', 1.0)]","[('them', 'null', 'love', 1.0), ('1 in fully and 1 ear in 1/2', 'null', 'really nice', 1.0), ('product', 'null', 'good', 1.0)]"
"this really deserves 3 stars.  its not terrible, but its not great.  first is sound quality.  its not terrible.  2nd is limited distance.  its not terrible, but not great.<br /><br />I wish I had found a better product.","[('product', 'sound quality', 'not terrible', 0.2), ('product', 'limited distance', 'not great', -0.5), ('product', 'null', 'not terrible', 0.2), ('product', 'null', 'not great', -0.5)]","[('product', 'null', 'not terrible', 0.3), ('product', 'null', 'not great', -0.3), ('sound quality', 'quality', 'not terrible', 0.3), ('distance', 'limited', 'not great', -0.3)]"
These work great for 8x10 frames.,"[('these', 'null', 'work great', 1.0)]","[('work', 'null', 'great', 1.0)]"
Bought to get stronger WIFI to my upstairs level & it works great! Great value for the price!,"[('wifi', 'strength', 'works great', 1.0), ('product', 'value', 'great value', 1.0)]","[('wifi', 'strength', 'works great', 1.0), ('wifi', 'null', 'great value', 1.0)]"
This is the 3rd Sony Blu Ray player I have bought & have been impressed with them all. My kids love the wi fi streaming options.,"[('sony blu ray player', 'null', 'impressed', 1.0), ('sony blu ray player', 'wi fi streaming options', 'kids love', 1.0)]","[('sony blu ray player', 'null', 'impressed', 1.0), ('wi fi streaming options', 'null', 'love', 1.0)]"
Love Otterbox cases. These have protected my 7 & 9 year old's IPods with lots of drops & wear & tear.,"[('otterbox cases', 'protection', 'protected well', 1.0)]","[('cases', 'null', 'love', 1.0), ('ipods', 'protected', 'protected', 1.0)]"
great product. high quality. fits perfectly.,"[('product', 'quality', 'high quality', 1.0), ('product', 'fit', 'fits perfectly', 1.0)]","[('product', 'null', 'great', 1.0), ('product', 'null', 'high quality', 1.0), ('product', 'null', 'fits perfectly', 1.0)]"
Pretty cool!!!<br /><br />Thanks Amazon.,"[('amazon', 'null', 'thanks', 1.0)]","[('pretty cool', 'null', 'cool', 1.0)]"
It came in quickly.  My son and grandson put it together for me in about 3 or 4 hr.  Time out for dinner and couple of beers.  Back to putting it to finish and test it out.  TV hung perfectly.  Fit right in the same corner a much smaller stand was in Clean looks with the wires now.,"[('tv', 'delivery speed', 'quick', 1.0), ('tv', 'assembly time', 'quick', 1.0), ('tv', 'installation', 'perfect', 1.0), ('tv', 'appearance', 'clean looks', 1.0)]","[('tv', 'delivery', 'came in quickly', 1.0), ('tv', 'assembly', 'put it together', 0.0), ('tv', 'installation', 'hung perfectly', 1.0), ('tv', 'appearance', 'clean looks', 1.0), ('tv', 'wiring', 'wires now', 1.0)]"
"Just a normal cable, works great for my external monitor!","[('cable', 'performance', 'works great', 1.0), ('cable', 'null', 'normal', 0.0)]","[('cable', 'null', 'works great', 1.0)]"
"I love this alarm. Bright, nice tone. The system is a little confusing but the manual helps a lot. Once you get the hang of it you'll love it. It's a nice gentle way to wake up.","[('alarm', 'brightness', 'nice', 1.0), ('alarm', 'tone', 'nice', 1.0), ('alarm', 'system', 'confusing', -1.0), ('alarm', 'manual', 'helpful', 1.0), ('alarm', 'null', 'nice', 1.0)]","[('alarm', 'tone', 'nice', 1.0), ('alarm', 'system', 'confusing', -0.5), ('alarm', 'manual', 'helps a lot', 1.0), ('alarm', 'null', 'nice gentle way to wake up', 1.0)]"
"Works great with my pixel 2, I can charge quickly while listening to music.","[('pixel 2', 'charging while listening to music', 'works great', 1.0)]","[('pixel 2', 'null', 'works great', 1.0), ('pixel 2', 'charging', 'quickly', 1.0), ('pixel 2', 'listening to music', 'can charge', 1.0)]"
Works flawlessly! Great for music/podcasts and receiving calls. The microphone isn't set up that close to my face but still captures my voice clearly.,"[('works', 'null', 'flawlessly', 1.0), ('device', 'music/podcasts', 'great', 1.0), ('device', 'receiving calls', 'great', 1.0), ('microphone', 'voice capture', 'clearly captures', 1.0)]","[('device', 'null', 'works flawlessly', 1.0), ('device', 'microphone', 'captures my voice clearly', 1.0)]"
I am not sure how much protection this provides - certainly less than a camera bag - but it will protect against scratches and small bumps. It's fairly thin. It fits my Canon EOS Rebel T6i w/ kit lens very well - like a glove.,"[('protection', 'protection', 'less than expected', -0.5), ('protection', 'scratch protection', 'effective', 0.5), ('protection', 'bump protection', 'effective', 0.5), ('case', 'thickness', 'thin', -0.5), ('case', 'fit', 'fits well', 0.8)]","[('protective case', 'protection', 'less than a camera bag', -0.3), ('protective case', 'scratches and small bumps', 'will protect', 1.0), ('protective case', 'thickness', 'fairly thin', 0.5), ('protective case', 'null', 'fits my canon eos rebel t6i w/ kit lens very well - like a glove', 1.0)]"
"Awesome product, fits well on my mac. Would definitely recommend.","[('product', 'null', 'awesome', 1.0), ('product', 'fit', 'fits well', 1.0), ('product', 'null', 'recommend', 1.0)]","[('product', 'null', 'awesome', 1.0), ('product', 'null', 'fits well', 0.8), ('product', 'null', 'would definitely recommend', 1.0)]"
I believe the electrical boxes are made especially to fit in a recessed (in wall) TV mount fixture. That is perhaps why it is made narrower. In the comments I am not seeing anyone using it for this. I would love to hear if someone used it placed inside a recessed mount and how it worked.,"[('electrical boxes', 'fit in a recessed tv mount fixture', 'suitable', 1.0)]","[('electrical boxes', 'shape', 'made narrower', 0.0), ('electrical boxes', 'fit', 'made especially to fit', 1.0), ('tv mount fixture', 'null', 'used for this', 0.0)]"
Don't know why I didn't get one of these years ago..it's saving me $9 a month rental fee i was paying Comcast,"[('comcast', 'rental fee', 'expensive', -1.0), ('one of these', 'null', 'worthwhile', 1.0)]","[('these', 'null', 'saving', 1.0), ('rental fee', 'cost', 'saving', 1.0)]"
"Worked great for a vacation monitor. Had no issues with my MacBook. Good resolution, no dead pixels. Very easy to carry around","[('vacation monitor', 'performance', 'worked great', 1.0), ('macbook', 'compatibility', 'no issues', 1.0), ('vacation monitor', 'resolution', 'good resolution', 1.0), ('vacation monitor', 'dead pixels', 'no dead pixels', 1.0), ('vacation monitor', 'portability', 'easy to carry', 1.0)]","[('monitor', 'resolution', 'good', 1.0), ('monitor', 'dead pixels', 'no', 1.0), ('monitor', 'null', 'easy to carry around', 1.0)]"
"This has been a great headset for video conferencing all day. Comfort is great, mic quality is great and when I do play music it sounds great too.","[('headset', 'comfort', 'great', 1.0), ('headset', 'mic quality', 'great', 1.0), ('headset', 'sound quality', 'sounds great', 1.0)]","[('headset', 'comfort', 'great', 1.0), ('headset', 'mic quality', 'great', 1.0), ('headset', 'music', 'sounds great', 1.0)]"
Can easily hold 2 pairs of headphones and looks great!,"[('headphones case', 'capacity', 'sufficient capacity', 1.0), ('headphones case', 'appearance', 'looks great', 1.0)]","[('holder', 'null', 'can easily hold', 1.0), ('holder', 'null', 'looks great', 1.0)]"
Sound quality of my dt 990 much improved compared to just hooking up to my phone. Would recommend to everyone. Small and easy to use,"[('dt 990', 'sound quality', 'much improved', 1.0), ('dt 990', 'size', 'small', 1.0), ('dt 990', 'usability', 'easy to use', 1.0), ('dt 990', 'null', 'would recommend', 1.0)]","[('dt 990', 'sound quality', 'much improved', 0.8), ('dt 990', 'null', 'would recommend', 1.0), ('dt 990', 'size', 'small', 0.5), ('dt 990', 'usability', 'easy to use', 0.8)]"
These are incredible value for the money. All of the included parts have worked for a few months and are still in great quality. We use them at lunch for an hour each day with smash.,"[('parts', 'quality', 'great quality', 1.0), ('parts', 'durability', 'worked for months', 1.0), ('value', 'null', 'incredible value', 1.0)]","[('included parts', 'null', 'worked', 1.0), ('included parts', 'quality', 'great', 1.0)]"
"Stick great to my desk and provide ample spaces for all of my cords. The color coding is more useful than I thought originally. Since each one has two spots, I had enough for my desk and bed night stand.","[('desk organizer', 'stick to desk', 'great', 1.0), ('desk organizer', 'spaces for cords', 'ample', 1.0), ('color coding', 'null', 'more useful', 1.0)]","[('stick', 'null', 'great', 1.0), ('spaces', 'null', 'ample', 1.0), ('color coding', 'null', 'more useful', 1.0), ('spots', 'null', 'enough', 1.0)]"
"This pair is fantastic for the price I paid(just over 50$) . There are a little long and tall which forced me to move my two fans around them, but that is more case design flaw than anything. I haven't had any issues with them and have used PNY for a long time.","[('pair', 'price', 'fantastic price', 1.0), ('pair', 'size', 'a little long', -0.5), ('case design', 'null', 'design flaw', -1.0), ('pair', 'reliability', 'no issues', 1.0), ('pny', 'reliability', ""haven't had issues"", 1.0)]","[('pair', 'null', 'fantastic', 1.0), ('fans', 'size', 'a little long and tall', -0.3), ('fans', 'null', 'forced me to move', -0.5), ('pny', 'null', ""haven't had any issues"", 1.0)]"
Had for about a month now. Still running strong and keeping my twc ultimate internet on all 8 of my houses devices. Goes through three rooms and I'll lose just a small fraction of speed (10mbps loss for a ranch style house).,"[('router', 'performance', 'running strong', 1.0), ('router', 'signal strength', 'keeps devices connected', 1.0), ('router', 'signal range', 'goes through three rooms', 1.0), ('router', 'signal loss', 'small fraction of speed loss', 0.0)]","[('router', 'null', 'running strong', 1.0), ('router', 'null', 'keeps my twc ultimate internet on all 8 of my houses devices', 1.0), ('router', 'null', 'goes through three rooms', 0.0), ('router', 'speed', 'lose just a small fraction of speed', 0.8)]"
"Very easy to configure, fits my 11.6&#34; Alienware very well. I can focus air on my Gpu and WASD keys to prevent from getting hot. Easy recommendation to anyone who needs a cooler for intense applications. My WASD keys barely get hot and my Gpu runs much more stable.","[('cooler', 'configuration', 'easy to configure', 1.0), ('cooler', 'fit', 'fits well', 1.0), ('cooler', 'cooling', 'prevents getting hot', 1.0), ('cooler', 'stability', 'runs stable', 1.0), ('cooler', 'recommendation', 'easy recommendation', 1.0)]","[('cooler', 'configuration', 'very easy', 1.0), ('cooler', 'fit', 'fits well', 1.0), ('gpu', 'null', 'gets hot', -1.0), ('wasd keys', 'null', 'barely get hot', 1.0), ('gpu', 'stability', 'runs much more stable', 1.0)]"
Everything works great on the hub with my Samsung Galaxy Pro S5e.,"[('hub', 'compatibility', 'works great', 1.0), ('samsung galaxy pro s5e', 'compatibility', 'works great', 1.0)]","[('hub', 'null', 'works great', 1.0), ('hub', 'samsung galaxy pro s5e', 'everything works', 1.0)]"
Must visually confirm that connector is fully extended by looking at slide groove.  Mine seemed DOA until I realized that  it wasn't making electrical connection.,"[('connector', 'functionality', 'not working', -1.0), ('connector', 'visual confirmation', 'required', 0.0)]","[('connector', 'extension', 'fully extended', 1.0), ('connector', 'connection', 'doa', -1.0), ('connector', 'connection', 'not making electrical connection', -1.0)]"
Any small screw dropped in my computer case seemed to end up inside the bottom mounted power supply.  This filter will keep them out.,"[('computer case', 'design', 'inadequate', -0.7), ('filter', 'effectiveness', 'useful', 0.8)]","[('screw', 'null', 'ended up inside', -0.5), ('filter', 'null', 'will keep them out', 1.0)]"
Bought four of these to use in a RAID.  All four of the boxes had PN: 98D648 - 550 on the box.  When I installed one of the drives it was smaller than the others.  PN on smaller drive's label was 98J146 - 308 and it was called a Barracuda 7200.10.  Larger drives were Barracuda 7200.11 9BX154 - 303 on the drive label.  Returned it and will check the replacement when it arrives.<br /><br />7/3/08 Received replacement drive and it was Barracuda 7200.11 9BX154 - 303.,"[('drives', 'size', 'smaller than others', -0.5), ('replacement drive', 'model', 'correct model', 1.0)]","[('drives', 'size', 'smaller', -1.0), ('drive', 'pn', '98j146 - 308', -1.0), ('drive', 'model', 'barracuda 7200.10', -1.0), ('replacement drive', 'model', 'barracuda 7200.11', 1.0)]"
Thin material but perfect to hang for a photo backdrop. Very happy!,"[('material', 'thickness', 'thin', -0.5), ('material', 'null', 'perfect to hang', 1.0), ('photo backdrop', 'null', 'perfect', 1.0), ('user experience', 'null', 'very happy', 1.0)]","[('material', 'null', 'thin', -0.5), ('backdrop', 'null', 'perfect to hang', 1.0), ('backdrop', 'null', 'very happy', 1.0)]"
Arrived damaged,"[('arrived product', 'condition', 'damaged', -1.0)]","[('product', 'null', 'arrived damaged', -1.0)]"
Fast charging,"[('null', 'fast charging', 'quick charging', 1.0)]","[('charger', 'charging', 'fast', 1.0)]"
This product is as good as advertised. The cost is attractive; considering you will likely replace them again in the future. I’ve attached a pic of the old and newly installed pads for comparison.,"[('product', 'null', 'as good', 1.0), ('cost', 'null', 'attractive', 1.0)]","[('product', 'null', 'as good as advertised', 1.0), ('cost', 'null', 'attractive', 1.0), ('pads', 'null', 'comparison', 0.0)]"
Good cord. 15ft is exactly what I wanted.,"[('cord', 'length', 'suitable length', 1.0)]","[('cord', 'length', 'exactly what i wanted', 1.0)]"
Fits my MacBook Air perfectly! Has a soft touch. Great product.,"[('fits my macbook air', 'null', 'perfectly', 1.0), ('has a soft touch', 'null', 'soft', 1.0), ('great product', 'null', 'great', 1.0)]","[('macbook air', 'null', 'fits perfectly', 1.0), ('case', 'touch', 'soft', 1.0), ('case', 'null', 'great', 1.0)]"
"DO NOT BUY THIS PRODUCT!! The first time I zipped the first pouch, the zipper broke. I tried another one, same thing,  zipper broke on the first try. HORRIBLE!!!","[('product', 'zipper durability', 'horrible', -1.0)]","[('product', 'zipper', 'broke', -1.0), ('product', 'zipper', 'horrible', -1.0)]"
Not very accurate in tracking steps taken.  Wrist band started coming off after 3 months of use.,"[('step tracker', 'accuracy', 'not very accurate', -0.8), ('wrist band', 'durability', 'coming off', -0.8)]","[('wrist band', 'tracking steps taken', 'not very accurate', -0.6), ('wrist band', 'null', 'started coming off', -0.5)]"
Works great. Easy to install.,"[('works', 'null', 'great', 1.0), ('install', 'null', 'easy', 1.0)]","[('product', 'null', 'works great', 1.0), ('product', 'null', 'easy to install', 1.0)]"
Very very slow processor. Disappointing.,"[('processor', 'null', 'very slow', -1.0), ('processor', 'null', 'disappointing', -1.0)]","[('processor', 'null', 'very very slow', -1.0), ('processor', 'null', 'disappointing', -1.0)]"
Great headsets. Comfortable. Great sound quality.,"[('headsets', 'comfort', 'comfortable', 1.0), ('headsets', 'sound quality', 'great sound', 1.0)]","[('headsets', 'comfort', 'comfortable', 1.0), ('headsets', 'sound quality', 'great', 1.0)]"
"Great case. Fits both the iPad Air & Air 2. Comes with a removable inner lining. When removed it fits the iPad Air. Looks good. Bought it in December 2014, still in great shape.","[('case', 'fit', 'fits well', 1.0), ('case', 'removable inner lining', 'useful feature', 1.0), ('case', 'appearance', 'looks good', 1.0), ('case', 'durability', 'still in great shape', 1.0)]","[('case', 'null', 'great', 1.0), ('case', 'fits', 'good', 0.8), ('case', 'inner lining', 'removable', 0.0), ('case', 'shape', 'still in great shape', 1.0)]"
AWESOME sound!  Easy to install. The wireless subwoofer makes it easy to place any where in the room.,"[('sound', 'null', 'awesome', 1.0), ('installation', 'null', 'easy', 1.0), ('wireless subwoofer', 'placement', 'easy', 1.0)]","[('sound', 'null', 'awesome', 1.0), ('subwoofer', 'placement', 'easy', 1.0)]"
Excellent sound. Easy to install.,"[('sound', 'null', 'excellent', 1.0), ('product', 'installation', 'easy', 1.0)]","[('sound', 'null', 'excellent', 1.0), ('product', 'install', 'easy', 1.0)]"
"Arrived sooner than the original really long estimated date.  Packaged well.  Remote wall bracket included.  No ceiling or wall mounting hardware included for the screen.  Very quiet operation. Moves very slowly up/down, but no big problem as the projector is usually getting up to temperature.  High vinyl odor, but that's fading, since installed 4 days ago. Does hide-away nicely and seems unobtrusive.  Worthy purchase.","[('arrived', 'null', 'sooner than estimated', 1.0), ('packaged', 'null', 'well', 1.0), ('remote wall bracket', 'null', 'included', 1.0), ('ceiling or wall mounting hardware', 'null', 'not included', -1.0), ('operation', 'quietness', 'very quiet', 1.0), ('projector', 'movement', 'moves slowly', -1.0), ('projector', 'temperature', 'gets up to temperature', 1.0), ('projector', 'odor', 'high vinyl odor', -1.0), ('projector', 'odor fading', 'fading', 1.0), ('projector', 'hiding', 'hides away nicely', 1.0), ('projector', 'appearance', 'unobtrusive', 1.0), ('purchase', 'worthiness', 'worthy', 1.0)]","[('projector', 'arrival', 'sooner', 1.0), ('projector', 'packaging', 'well', 1.0), ('projector', 'remote wall bracket', 'included', 1.0), ('projector', 'ceiling or wall mounting hardware', 'not included', -1.0), ('projector', 'operation', 'very quiet', 1.0), ('projector', 'movement', 'moves very slowly', -0.5), ('projector', 'vinyl odor', 'high', -0.5), ('projector', 'hiding', 'nicely', 1.0), ('projector', 'unobtrusiveness', 'seems unobtrusive', 1.0), ('projector', 'purchase', 'worthy', 1.0)]"
This cameras seems to focus on what “it” wants. I will try to capture and watch an area by moving the cameras visual area using the app but it will quickly return to another area. Not even the same area as was before I decided to look elsewhere. It tends to bounce anywhere it’s little heart desires causing me frustration and non use.,"[('cameras', 'focus', 'unpredictable', -0.7), ('cameras', 'control', 'limited', -0.8), ('cameras', 'behavior', 'frustrating', -1.0)]","[('camera', 'focus', 'focuses on what it wants', -0.8), ('camera', 'null', 'causing me frustration and non use', -1.0)]"
A little crackly at times but not that noticeable. Just turn the volume up. Easy connect. Use everyday,"[('a little crackly', 'sound quality', 'not noticeable', 0.25), ('volume', 'adjustment', 'easy to increase', 0.75), ('connect', 'process', 'easy', 1.0), ('use everyday', 'null', 'use everyday', 1.0)]","[('sound', 'null', 'crackly', -0.3), ('sound', 'null', 'not that noticeable', 0.1), ('connection', 'null', 'easy', 1.0), ('device', 'null', 'use everyday', 1.0)]"
"To me, this was a waste of money. Not useful on a plane or really anywhere. Too short, once bent, leaving no surface space so phone wants to fall off. Don’t buy it. Save your money.","[('this', 'usefulness', 'waste of money', -1.0), ('this', 'usefulness on a plane', 'not useful', -1.0), ('this', 'usefulness anywhere', 'not useful', -1.0), ('this', 'length', 'too short', -1.0), ('this', 'durability', 'once bent', -1.0), ('this', 'surface space', 'no surface space', -1.0), ('this', 'stability', 'wants to fall off', -1.0), ('this', 'null', 'don’t buy', -1.0), ('this', 'null', 'save money', -1.0)]","[('phone case', 'null', 'waste of money', -1.0), ('phone case', 'null', 'not useful', -1.0), ('phone case', 'bend', 'too short', -1.0), ('phone case', 'surface', 'leaving no surface space', -1.0), ('phone case', 'null', 'don’t buy it', -1.0)]"
Works great. Son uses it to hold Beats and Jaybirds. Traveled well and protected items.,"[('it', 'null', 'works great', 1.0), ('it', 'protection', 'protected items', 1.0), ('it', 'travel', 'traveled well', 1.0)]","[('son', 'null', 'works great', 1.0), ('beats', 'null', 'traveled well', 1.0), ('jaybirds', 'null', 'traveled well', 1.0)]"
Works great. No complaints!,"[('works great', 'null', 'works great', 1.0), ('no complaints', 'null', 'no complaints', 1.0)]","[('camera', 'null', 'works great', 1.0)]"
"My son likes it,holding up well considering how much weight he puts in it.So far so good!","[('it', 'durability', 'holding up well', 1.0), ('it', 'null', 'so far so good', 1.0)]","[('it', 'null', 'holding up well', 1.0), ('it', 'null', 'likes it', 1.0)]"
love them so much thank you,"[('them', 'null', 'love so much', 1.0)]","[('them', 'null', 'love', 1.0)]"
awesome,"[('null', 'null', 'awesome', 1.0)]","[('null', 'null', 'awesome', 1.0)]"
